i,t,Sg,Se,Pop,Sg_pc,Se_pc
35,2008,7020308.36,7251252.89,41011638,0.17117844354326936,0.17680963852260667
35,2009,6696778.62,8609999.21,41384039,0.16182032449756778,0.2080512056834279
35,2010,7436236.66,8374256.7,41485610,0.17924857944718664,0.20185931218077788
35,2011,9461875.41,6490307.28,41587182,0.22751903242686652,0.15606508947877257
35,2012,10305844.77,5834459.53,41901219,0.24595572672957317,0.13924319313956
35,2013,10476822.09,6656752.87,43663669,0.23994369529505183,0.15245518808783567
35,2014,10849785.85,7576593.25,44035304,0.24638834899379825,0.17205724865666874
35,2015,9436733.19,9456061.06,44396484,0.2125558679376502,0.21299121479980263
35,2016,9990516.46,8356468.94,44749699,0.22325326612811408,0.18673799213710912
35,2017,10472113.33,7688115.25,45094866,0.23222407025225444,0.17048759497367172
35,2018,8425692.44,9956761.3,45538936,0.18502172382771526,0.21864281809307096
35,2019,7947691.13,11673779.17,45919049,0.1730804819150327,0.25422519464634385
35,2020,7176931.3,10139673.62,46289333,0.1550450359697341,0.21904989687364904
35,2021,8848800.97,8466774.43,46649132,0.18968843771841243,0.18149907762485268
35,2022,10007241.41,7946050.39,46649132,0.21452149227556902,0.1703365110844935
35,2023,10468876.86,8147577.58,46649132,0.22441739880604852,0.1746565741030294
41,2006,1645806.4,520583.66,10387378,0.15844291023201426,0.05011694577784692
41,2007,1639229.44,701253.42,10488774,0.15628417963815408,0.0668575202402111
41,2008,1699665.49,904330.3,10590171,0.16049462185265942,0.08539336144808238
41,2009,1604062.92,1193029.92,10686247,0.1501053569134234,0.11164161936365498
41,2010,1885665.17,1347000.53,10599298,0.1779047225580411,0.1270839380117438
41,2011,2403005.27,811371.73,10512349,0.22858880255973238,0.07718272386124167
41,2012,2771272.22,814623.78,10577755,0.26199058495871763,0.07701291814756533
41,2013,2752702.11,1128902.48,10997465,0.2503033299037551,0.10265115460699352
41,2014,2886674.1,1235720.77,11081692,0.2604903745745686,0.11151011686663012
